Person ID,Detection Time,Similarity Score
ksj47,2025-02-03T12:42:59.641648,0.7467134838589513
ksj47,2025-02-03T12:43:00.659995,0.7127078102421955
ksj47,2025-02-03T12:43:01.255976,0.7185309572637337
ksj47,2025-02-03T12:43:01.909872,0.72353046785493
ksj47,2025-02-03T12:43:02.627728,0.719171679691337
ksj47,2025-02-03T12:43:03.350893,0.70617016469028
ksj47,2025-02-03T12:43:04.916891,0.7206658099732475
ksj47,2025-02-03T12:43:06.485130,0.7040380743783766
ksj47,2025-02-03T12:43:06.965646,0.7075511305713382
ksj47,2025-02-03T12:43:07.483183,0.7197128325047653
ksj47,2025-02-03T12:43:07.955525,0.7480038210713778
ksj47,2025-02-03T12:43:08.985512,0.752722620972312
ksj47,2025-02-03T12:43:09.916534,0.7479482442949942
ksj47,2025-02-03T12:43:10.420281,0.7389037819490656
ksj47,2025-02-03T12:43:10.932405,0.7511166640646921
ksj47,2025-02-03T12:43:11.478039,0.7480288357965602
ksj47,2025-02-03T12:43:12.251428,0.7703648836247552
ksj47,2025-02-03T12:43:12.900131,0.7444746774303574
ksj47,2025-02-03T12:43:14.187899,0.7566941582732422
ksj47,2025-02-03T12:43:14.733563,0.7654566527261639
ksj47,2025-02-03T12:43:15.262338,0.7499400949328547
ksj47,2025-02-03T12:43:15.896185,0.7551258910445453
ksj47,2025-02-03T12:43:16.581923,0.7335119875120351
ksj47,2025-02-03T12:43:17.081891,0.7349311487356599
ksj47,2025-02-03T12:43:17.738672,0.7605112843647333
ksj47,2025-02-03T12:43:18.624446,0.7405535183997062
ksj47,2025-02-03T12:43:19.427147,0.7490876769359434
ksj47,2025-02-03T12:43:20.256632,0.7351448875660623
ksj47,2025-02-03T12:43:21.536603,0.7383706880803149
ksj47,2025-02-03T13:52:05.242180,0.770272760236682
ksj47,2025-02-03T13:52:10.693992,0.7420418916073114
ksj47,2025-02-03T13:52:11.237871,0.7696481172761076
ksj47,2025-02-03T13:52:11.788950,0.771186680142105
ksj47,2025-02-03T13:52:12.340736,0.7341839027094142
ksj47,2025-02-03T13:52:12.885239,0.7430476680146506
ksj47,2025-02-03T13:52:13.465324,0.7564717178405278
ksj47,2025-02-03T13:52:14.001321,0.760126638029426
ksj47,2025-02-03T13:52:14.529492,0.7529488576546186
ksj47,2025-02-03T13:52:15.031001,0.7634236022681419
ksj47,2025-02-03T13:52:15.672517,0.7693271981744224
ksj47,2025-02-03T13:52:16.206531,0.7631694572747003
ksj47,2025-02-03T13:52:16.714382,0.7667205241448252
ksj47,2025-02-03T13:52:17.519857,0.8126105879364873
ksj47,2025-02-03T13:52:18.124180,0.7776581414991837
ksj47,2025-02-03T13:52:18.779523,0.7915541124686258
